"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","188","GET /search?q=""xzqjfkwpvmblhtrsdyn"" retourne un status 200 avec 0 résultats","api","2026-08-01","passed","2026-08-01","","tests/api/search-data-driven.spec.ts","",""
"","188","GET /search?q=""a"" retourne un status 200 avec 1 résultats","api","2026-08-01","passed","2026-08-01","","tests/api/search-data-driven.spec.ts","",""
"","217","GET /search?q=daftpunk retourne des objets avec les champs id, title, artist","api","2026-08-01","passed","2026-08-01","","tests/api/search.spec.ts","",""
"","170","GET /search?q="""" retourne une erreur 500 avec ParameterException","api","2026-08-01","passed","2026-08-01","","tests/api/search-data-driven.spec.ts","",""
"","191","Response time for endpoint /artist is below 300ms","api","2026-08-01","passed","2026-08-01","","tests/api/response-time.spec.ts","",""
"","253","GET /search?q=""daft punk"" retourne un status 200 avec 10 résultats","api","2026-08-01","passed","2026-08-01","","tests/api/search-data-driven.spec.ts","",""
"","285","GET /search?q=daftpunk retourne un status 200 et un tableau data non vide","api","2026-08-01","passed","2026-08-01","","tests/api/search.spec.ts","",""
"","319","GET /search?q=""أم كلثوم"" retourne un status 200 avec 1 résultats","api","2026-08-01","passed","2026-08-01","","tests/api/search-data-driven.spec.ts","",""
"","354","GET /chart/0 retourne le top chart","api","2026-08-01","passed","2026-08-01","","tests/api/chart.spec.ts","",""
"","279","GET /search?q=""坂本龍一"" retourne un status 200 avec 1 résultats","api","2026-08-01","passed","2026-08-01","","tests/api/search-data-driven.spec.ts","",""
"","191","GET /track/1255632982 retourne des objets avec les champs attendus","api","2026-08-01","passed","2026-08-01","","tests/api/track.spec.ts","",""
"","229","GET /artist/999999999 retourne status 200 avec un champ error contenant un message","api","2026-08-01","passed","2026-08-01","","tests/api/artist.spec.ts","",""
"","389","GET /album/302127 (discovery) retourne status 200 avec les champs title, nb_tracks","api","2026-08-01","passed","2026-08-01","","tests/api/album.spec.ts","",""
"","225","GET /search?q=""!!"" retourne un status 200 avec 0 résultats","api","2026-08-01","passed","2026-08-01","","tests/api/search-data-driven.spec.ts","",""
"","271","Response time for endpoint /search is below 300ms","api","2026-08-01","passed","2026-08-01","","tests/api/response-time.spec.ts","",""
"","193","GET /artist/27 retourne un nb_fan supérieur à 0","api","2026-08-01","passed","2026-08-01","","tests/api/artist.spec.ts","",""
"","512","GET /search?q=""AC/DC"" retourne un status 200 avec 1 résultats","api","2026-08-01","passed","2026-08-01","","tests/api/search-data-driven.spec.ts","",""
"","163","GET /search?q=zzzzinexistant retourne un status 200 avec un tableau data vide","api","2026-08-01","passed","2026-08-01","","tests/api/search.spec.ts","",""
"","238","GET /search?q=""154651154alaphafa"" retourne un status 200 avec 0 résultats","api","2026-08-01","passed","2026-08-01","","tests/api/search-data-driven.spec.ts","",""
"","267","GET /search?q=""Miles Davis"" retourne un status 200 avec 1 résultats","api","2026-08-01","passed","2026-08-01","","tests/api/search-data-driven.spec.ts","",""
"","214","GET /search?q=""Иван Купала"" retourne un status 200 avec 1 résultats","api","2026-08-01","passed","2026-08-01","","tests/api/search-data-driven.spec.ts","",""
"","217","GET /search?q=""jazz"" retourne un status 200 avec 1 résultats","api","2026-08-01","passed","2026-08-01","","tests/api/search-data-driven.spec.ts","",""
"","362","GET /search?q=""Björk"" retourne un status 200 avec 1 résultats","api","2026-08-01","passed","2026-08-01","","tests/api/search-data-driven.spec.ts","",""
"","228","Response time for endpoint /album is below 300ms","api","2026-08-01","passed","2026-08-01","","tests/api/response-time.spec.ts","",""
"","256","GET /artist/27 (Daft Punk) retourne status 200 avec les champs id, name, picture, nb_album, nb_fan","api","2026-08-01","passed","2026-08-01","","tests/api/artist.spec.ts","",""
"","227","GET /search?q=""Beyoncé"" retourne un status 200 avec 1 résultats","api","2026-08-01","passed","2026-08-01","","tests/api/search-data-driven.spec.ts","",""
