"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","204","GET /search?q=""Björk"" retourne un status 200 avec 1 résultats","api","2026-06-20","passed","2026-06-20","","search-data-driven.spec.ts","",""
"","243","GET /search?q=daftpunk retourne un status 200 et un tableau data non vide","api","2026-06-20","passed","2026-06-20","","search.spec.ts","",""
"","161","GET /search?q=""a"" retourne un status 200 avec 1 résultats","api","2026-06-20","passed","2026-06-20","","search-data-driven.spec.ts","",""
"","273","GET /search?q=""Miles Davis"" retourne un status 200 avec 1 résultats","api","2026-06-20","passed","2026-06-20","","search-data-driven.spec.ts","",""
"","279","GET /search?q=""AC/DC"" retourne un status 200 avec 1 résultats","api","2026-06-20","passed","2026-06-20","","search-data-driven.spec.ts","",""
"","159","GET /search?q=""xzqjfkwpvmblhtrsdyn"" retourne un status 200 avec 0 résultats","api","2026-06-20","passed","2026-06-20","","search-data-driven.spec.ts","",""
"","153","GET /search?q=zzzzinexistant retourne un status 200 avec un tableau data vide","api","2026-06-20","passed","2026-06-20","","search.spec.ts","",""
"","154","GET /track/1255632982 retourne des objets avec les champs attendus","api","2026-06-20","passed","2026-06-20","","track.spec.ts","",""
"","244","GET /search?q=""daft punk"" retourne un status 200 avec 10 résultats","api","2026-06-20","passed","2026-06-20","","search-data-driven.spec.ts","",""
"","202","GET /artist/27 retourne un nb_fan supérieur à 0","api","2026-06-20","passed","2026-06-20","","artist.spec.ts","",""
"","173","Response time for endpoint /album is below 300ms","api","2026-06-20","passed","2026-06-20","","response-time.spec.ts","",""
"","127","Response time for endpoint /artist is below 300ms","api","2026-06-20","passed","2026-06-20","","response-time.spec.ts","",""
"","165","Response time for endpoint /search is below 300ms","api","2026-06-20","passed","2026-06-20","","response-time.spec.ts","",""
"","253","GET /search?q=""坂本龍一"" retourne un status 200 avec 1 résultats","api","2026-06-20","passed","2026-06-20","","search-data-driven.spec.ts","",""
"","288","GET /album/302127 (discovery) retourne status 200 avec les champs title, nb_tracks","api","2026-06-20","passed","2026-06-20","","album.spec.ts","",""
"","141","GET /artist/27 (Daft Punk) retourne status 200 avec les champs id, name, picture, nb_album, nb_fan","api","2026-06-20","passed","2026-06-20","","artist.spec.ts","",""
"","203","GET /search?q=""!!"" retourne un status 200 avec 0 résultats","api","2026-06-20","passed","2026-06-20","","search-data-driven.spec.ts","",""
"","277","GET /search?q=""Beyoncé"" retourne un status 200 avec 1 résultats","api","2026-06-20","passed","2026-06-20","","search-data-driven.spec.ts","",""
"","161","GET /search?q=""Иван Купала"" retourne un status 200 avec 1 résultats","api","2026-06-20","passed","2026-06-20","","search-data-driven.spec.ts","",""
"","154","GET /artist/999999999 retourne status 200 avec un champ error contenant un message","api","2026-06-20","passed","2026-06-20","","artist.spec.ts","",""
"","191","GET /search?q=""أم كلثوم"" retourne un status 200 avec 1 résultats","api","2026-06-20","passed","2026-06-20","","search-data-driven.spec.ts","",""
"","196","GET /search?q=""154651154alaphafa"" retourne un status 200 avec 0 résultats","api","2026-06-20","passed","2026-06-20","","search-data-driven.spec.ts","",""
"","183","GET /search?q=daftpunk retourne des objets avec les champs id, title, artist","api","2026-06-20","passed","2026-06-20","","search.spec.ts","",""
"","214","GET /search?q=""jazz"" retourne un status 200 avec 1 résultats","api","2026-06-20","passed","2026-06-20","","search-data-driven.spec.ts","",""
"","141","GET /search?q="""" retourne une erreur 500 avec ParameterException","api","2026-06-20","passed","2026-06-20","","search-data-driven.spec.ts","",""
"","260","GET /chart/0 retourne le top chart","api","2026-06-20","passed","2026-06-20","","chart.spec.ts","",""
